POP,CXPB,MUTPB,MUTATION RATE,BEST_MODULARITY,BEST_GEN
50,0.8,0.4,0.05,0.3719592373,284
50,0.7,0.4,0.05,0.371712689,437
50,0.8,0.4,0.05,0.371712689,150
50,0.8,0.5,0.02,0.371712689,449
50,0.8,0.5,0.08,0.371712689,465
50,0.8,0.4,0.05,0.3716305062,258
50,0.8,0.5,0.08,0.3708908613,245
50,0.8,0.4,0.05,0.3707264957,288
50,0.8,0.4,0.05,0.3707264957,477
50,0.7,0.4,0.05,0.3707264957,654
50,0.8,0.4,0.05,0.3707264957,571
50,0.8,0.4,0.05,0.3707264957,545
50,0.7,0.4,0.05,0.3707264957,244
50,0.8,0.5,0.02,0.3707264957,647
50,0.8,0.5,0.08,0.3707264957,313
50,0.8,0.5,0.1,0.3707264957,700
40,0.8,0.5,0.08,0.3707264957,483
50,0.7,0.4,0.05,0.370644313,384
50,0.8,0.5,0.1,0.3703977646,154
50,0.7,0.4,0.05,0.3702333991,241
50,0.7,0.4,0.05,0.369904668,286
40,0.8,0.5,0.08,0.369904668,289
60,0.8,0.5,0.08,0.369904668,545
50,0.8,0.4,0.05,0.3697403024,509
50,0.7,0.4,0.05,0.3697403024,1318
50,0.8,0.5,0.02,0.3697403024,662
50,0.8,0.5,0.02,0.3697403024,868
50,0.8,0.5,0.08,0.3697403024,482
50,0.8,0.5,0.08,0.3697403024,280
50,0.8,0.5,0.1,0.3697403024,547
50,0.8,0.5,0.1,0.3697403024,432
60,0.8,0.5,0.08,0.3697403024,238
50,0.8,0.4,0.05,0.3694115713,329
50,0.8,0.5,0.02,0.3692472058,734
50,0.8,0.5,0.08,0.3692472058,454
50,0.8,0.5,0.08,0.3692472058,282
40,0.8,0.5,0.08,0.3689184747,672
50,0.8,0.4,0.05,0.3688362919,693
50,0.8,0.5,0.08,0.3688362919,359
50,0.7,0.4,0.05,0.3688362919,526
50,0.8,0.4,0.05,0.3688362919,305
50,0.8,0.4,0.05,0.3687541091,322
50,0.7,0.4,0.05,0.3687541091,817
50,0.7,0.4,0.05,0.3687541091,693
50,0.8,0.5,0.02,0.3687541091,517
60,0.8,0.5,0.08,0.3686719264,309
50,0.8,0.4,0.05,0.3685897436,523
50,0.8,0.4,0.05,0.3685897436,471
50,0.8,0.5,0.08,0.3685897436,564
60,0.8,0.5,0.08,0.3685075608,345
50,0.7,0.4,0.05,0.3680966469,174
50,0.8,0.4,0.05,0.3680966469,484
50,0.8,0.4,0.05,0.3679322814,334
50,0.8,0.4,0.05,0.3677679158,283
50,0.8,0.5,0.08,0.3677679158,1152
40,0.8,0.5,0.08,0.3677679158,735
50,0.8,0.4,0.05,0.3676857331,192
50,0.8,0.5,0.1,0.3676035503,246
60,0.8,0.5,0.08,0.3672748192,599
60,0.8,0.5,0.08,0.3667817226,604
50,0.8,0.4,0.05,0.3666995398,384
60,0.8,0.5,0.08,0.3660420776,323
50,0.8,0.5,0.02,0.3656311637,433
50,0.7,0.4,0.05,0.3655489809,463
50,0.8,0.5,0.08,0.3655489809,766
50,0.7,0.4,0.05,0.3653024326,204
50,0.8,0.4,0.05,0.3653024326,443
50,0.8,0.5,0.02,0.3653024326,401
50,0.8,0.5,0.1,0.3653024326,526
40,0.8,0.5,0.08,0.3653024326,735
60,0.8,0.5,0.08,0.3653024326,718
50,0.8,0.5,0.02,0.3651380671,284
50,0.8,0.5,0.02,0.3644806049,500
50,0.8,0.5,0.08,0.3644806049,517
60,0.8,0.5,0.08,0.3644806049,240
50,0.8,0.5,0.08,0.3643162393,393
50,0.8,0.5,0.08,0.3643162393,389
40,0.8,0.5,0.08,0.3643162393,858
60,0.8,0.5,0.08,0.364069691,437
50,0.8,0.5,0.08,0.363330046,586
50,0.7,0.4,0.05,0.3630834977,608
50,0.8,0.5,0.02,0.3627547666,1033
50,0.8,0.5,0.02,0.3623438527,270
50,0.8,0.5,0.08,0.3623438527,829
50,0.8,0.5,0.1,0.3623438527,545
40,0.8,0.5,0.08,0.3623438527,580
60,0.8,0.5,0.08,0.3623438527,337
50,0.8,0.5,0.02,0.3619329389,560
50,0.8,0.5,0.1,0.3618507561,281
50,0.8,0.5,0.1,0.361522025,202
60,0.8,0.5,0.08,0.361522025,379
50,0.8,0.5,0.02,0.3614398422,248
50,0.8,0.4,0.05,0.3613576594,402
50,0.8,0.5,0.08,0.3613576594,253
50,0.8,0.5,0.08,0.3613576594,497
50,0.8,0.5,0.08,0.3613576594,722
40,0.8,0.5,0.08,0.3613576594,509
60,0.8,0.5,0.08,0.3613576594,531
40,0.8,0.5,0.08,0.3611111111,687
60,0.8,0.5,0.08,0.3611111111,710
60,0.8,0.5,0.08,0.3611111111,556
50,0.8,0.5,0.02,0.3608645628,426
60,0.8,0.5,0.08,0.3606180145,450
50,0.8,0.5,0.02,0.3602071006,491
50,0.8,0.5,0.02,0.3602071006,721
40,0.8,0.5,0.08,0.360042735,205
50,0.8,0.5,0.02,0.3599605523,412
50,0.7,0.4,0.05,0.3598783695,397
50,0.8,0.4,0.05,0.3597961867,529
50,0.8,0.5,0.02,0.3597961867,298
50,0.8,0.5,0.1,0.3597961867,713
50,0.8,0.5,0.1,0.3597140039,196
50,0.7,0.4,0.05,0.3595496384,532
50,0.7,0.4,0.05,0.3593852728,717
50,0.8,0.5,0.02,0.3593852728,487
50,0.8,0.5,0.1,0.3590565417,336
50,0.8,0.5,0.1,0.3585634451,652
50,0.8,0.5,0.02,0.3583168968,258
60,0.8,0.5,0.08,0.3581525312,286
50,0.7,0.4,0.05,0.3579881657,623
50,0.7,0.4,0.05,0.3579059829,430
50,0.8,0.5,0.08,0.3579059829,383
60,0.8,0.5,0.08,0.3579059829,473
50,0.7,0.4,0.05,0.3576594346,843
60,0.8,0.5,0.08,0.3576594346,765
50,0.7,0.4,0.05,0.3575772518,670
50,0.8,0.5,0.1,0.3574128863,770
50,0.8,0.5,0.1,0.3571663379,836
50,0.8,0.4,0.05,0.3570841552,635
50,0.8,0.4,0.05,0.3569197896,487
50,0.8,0.5,0.02,0.3569197896,724
50,0.8,0.5,0.1,0.3569197896,508
40,0.8,0.5,0.08,0.3569197896,184
60,0.8,0.5,0.08,0.3569197896,661
50,0.8,0.5,0.02,0.3566732413,151
40,0.8,0.5,0.08,0.3566732413,522
50,0.7,0.4,0.05,0.3565910585,494
50,0.8,0.4,0.05,0.3560979619,393
50,0.7,0.4,0.05,0.3560157791,866
50,0.8,0.5,0.08,0.3560157791,967
50,0.7,0.4,0.05,0.3556048652,689
50,0.8,0.5,0.02,0.3555226824,385
50,0.7,0.4,0.05,0.3548652202,692
50,0.8,0.5,0.08,0.3548652202,436
50,0.7,0.4,0.05,0.3546186719,367
50,0.8,0.5,0.02,0.3543721236,242
50,0.8,0.5,0.02,0.3539612097,461
50,0.8,0.5,0.08,0.3539612097,558
60,0.8,0.5,0.08,0.3528928337,393
40,0.8,0.5,0.08,0.3528106509,326
60,0.8,0.5,0.08,0.3528106509,287
50,0.7,0.4,0.05,0.3527284681,273
50,0.8,0.5,0.1,0.3524819198,249
40,0.8,0.5,0.08,0.3522353715,796
50,0.8,0.5,0.08,0.3521531887,624
40,0.8,0.5,0.08,0.3520710059,211
50,0.8,0.4,0.05,0.3519888231,414
50,0.8,0.5,0.08,0.3519888231,746
50,0.8,0.5,0.02,0.3514957265,438
40,0.8,0.5,0.08,0.3514957265,552
60,0.8,0.5,0.08,0.3514957265,376
60,0.8,0.5,0.08,0.3514957265,628
50,0.8,0.5,0.02,0.3509204471,591
50,0.8,0.5,0.08,0.3503451677,490
50,0.8,0.4,0.05,0.3501808021,548
50,0.8,0.5,0.02,0.3501808021,201
40,0.8,0.5,0.08,0.3501808021,466
50,0.8,0.5,0.1,0.3496877055,262
50,0.8,0.5,0.02,0.3488658777,235
50,0.8,0.5,0.1,0.3488658777,373
60,0.8,0.5,0.08,0.3485371466,330
50,0.7,0.4,0.05,0.3482905983,295
50,0.8,0.5,0.02,0.3482905983,411
50,0.8,0.4,0.05,0.34804405,627
50,0.8,0.5,0.08,0.3477975016,903
50,0.8,0.5,0.02,0.3477153189,588
60,0.8,0.5,0.08,0.3477153189,411
50,0.7,0.4,0.05,0.3477153189,181
50,0.7,0.4,0.05,0.3475509533,576
50,0.7,0.4,0.05,0.3475509533,547
50,0.8,0.4,0.05,0.3475509533,462
40,0.8,0.5,0.08,0.3474687705,514
50,0.8,0.4,0.05,0.3469756739,647
50,0.8,0.5,0.1,0.3469756739,392
50,0.8,0.4,0.05,0.3468113083,245
50,0.8,0.5,0.08,0.3468113083,655
60,0.8,0.5,0.08,0.3468113083,240
60,0.8,0.5,0.08,0.3468113083,690
50,0.7,0.4,0.05,0.34656476,295
50,0.8,0.4,0.05,0.34656476,259
50,0.8,0.4,0.05,0.34656476,466
50,0.8,0.5,0.02,0.34656476,289
50,0.8,0.5,0.08,0.34656476,473
50,0.8,0.5,0.1,0.34656476,362
50,0.8,0.5,0.1,0.34656476,359
40,0.8,0.5,0.08,0.3464003945,315
60,0.8,0.5,0.08,0.3458251151,344
50,0.8,0.4,0.05,0.3455785667,412
50,0.8,0.5,0.02,0.345496384,553
50,0.8,0.5,0.08,0.345496384,321
60,0.8,0.5,0.08,0.345496384,238
50,0.8,0.5,0.1,0.3449211045,546
50,0.8,0.4,0.05,0.3448389218,798
50,0.7,0.4,0.05,0.3445923734,409
50,0.8,0.5,0.02,0.3445923734,401
50,0.8,0.5,0.02,0.344017094,300
50,0.8,0.5,0.08,0.3436061801,768
40,0.8,0.5,0.08,0.3431130835,652
60,0.8,0.5,0.08,0.3430309007,718
50,0.8,0.4,0.05,0.3426199869,234
50,0.8,0.4,0.05,0.3423734385,953
50,0.8,0.4,0.05,0.3423734385,445
50,0.8,0.4,0.05,0.3423734385,237
50,0.8,0.4,0.05,0.3421268902,332
50,0.8,0.5,0.02,0.3418803419,392
40,0.8,0.5,0.08,0.3417981591,342
50,0.7,0.4,0.05,0.341469428,798
50,0.8,0.5,0.08,0.3413872452,486
50,0.8,0.5,0.1,0.3405654175,433
50,0.8,0.5,0.02,0.3404010519,605
60,0.8,0.5,0.08,0.3404010519,802
50,0.8,0.5,0.02,0.3402366864,297
50,0.8,0.5,0.08,0.3402366864,451
50,0.8,0.5,0.08,0.3402366864,448
50,0.8,0.4,0.05,0.3399901381,539
50,0.7,0.4,0.05,0.3399079553,302
40,0.8,0.5,0.08,0.3394148586,768
50,0.7,0.4,0.05,0.3393326759,720
60,0.8,0.5,0.08,0.3390861275,374
40,0.8,0.5,0.08,0.338921762,479
40,0.8,0.5,0.08,0.3386752137,944
50,0.8,0.5,0.08,0.3380999343,481
50,0.7,0.4,0.05,0.3378533859,172
50,0.8,0.4,0.05,0.3371959237,388
50,0.7,0.4,0.05,0.3369493754,549
50,0.8,0.4,0.05,0.3368671926,491
50,0.8,0.5,0.1,0.3368671926,376
50,0.8,0.4,0.05,0.3367850099,756
50,0.8,0.4,0.05,0.3367028271,522
50,0.7,0.4,0.05,0.3362097304,295
50,0.8,0.5,0.08,0.3359631821,450
50,0.8,0.4,0.05,0.3357988166,426
50,0.8,0.5,0.02,0.3357988166,352
50,0.8,0.4,0.05,0.3357166338,519
50,0.8,0.4,0.05,0.3353879027,473
50,0.7,0.4,0.05,0.3350591716,476
50,0.8,0.5,0.02,0.3344838922,355
50,0.8,0.5,0.02,0.3335798817,286
50,0.8,0.5,0.02,0.3322649573,132
50,0.8,0.5,0.02,0.3321827745,379
50,0.8,0.5,0.02,0.3320184089,468
50,0.8,0.4,0.05,0.3313609467,908
40,0.8,0.5,0.08,0.331278764,442
60,0.8,0.5,0.08,0.331278764,349
50,0.8,0.4,0.05,0.3311965812,426
50,0.8,0.4,0.05,0.3311965812,506
50,0.7,0.4,0.05,0.3310322156,435
50,0.8,0.4,0.05,0.3310322156,951
40,0.8,0.5,0.08,0.3306213018,175
50,0.8,0.5,0.02,0.329799474,808
50,0.8,0.4,0.05,0.3297172913,437
50,0.8,0.5,0.02,0.3295529257,377
50,0.8,0.5,0.02,0.3289776463,821
50,0.8,0.5,0.08,0.3288954635,297
60,0.8,0.5,0.08,0.3284845496,279
40,0.8,0.5,0.08,0.3276627219,261
50,0.7,0.4,0.05,0.327251808,228
50,0.8,0.4,0.05,0.3268408941,410
50,0.8,0.4,0.05,0.3264299803,258
40,0.8,0.5,0.08,0.3263477975,662
50,0.8,0.4,0.05,0.3260190664,389
40,0.8,0.5,0.08,0.3256903353,649
50,0.8,0.5,0.02,0.3253616042,432
40,0.8,0.5,0.08,0.3252794214,768
50,0.8,0.5,0.02,0.3248685076,434
50,0.8,0.4,0.05,0.3246219592,504
50,0.8,0.5,0.1,0.3241288626,962
50,0.8,0.4,0.05,0.323964497,490
40,0.8,0.5,0.08,0.3238823143,327
50,0.8,0.5,0.02,0.3229783037,476
50,0.8,0.5,0.02,0.3224852071,234
50,0.8,0.5,0.02,0.3224852071,359
50,0.7,0.4,0.05,0.3223208416,208
50,0.8,0.5,0.1,0.3220742932,483
50,0.8,0.5,0.02,0.3213346483,152
50,0.8,0.5,0.02,0.3210059172,542
50,0.8,0.5,0.02,0.3200197239,345
50,0.8,0.5,0.1,0.3194444444,339
50,0.7,0.4,0.05,0.3190335306,435
50,0.7,0.4,0.05,0.318869165,288
50,0.7,0.4,0.05,0.3186226167,419
50,0.7,0.4,0.05,0.3185404339,370
50,0.8,0.5,0.02,0.3182938856,320
50,0.8,0.5,0.02,0.3178829717,425
50,0.8,0.4,0.05,0.3176364234,146
40,0.8,0.5,0.08,0.3174720579,532
50,0.8,0.4,0.05,0.3166502301,502
50,0.8,0.5,0.02,0.3166502301,432
40,0.8,0.5,0.08,0.3159105851,403
50,0.7,0.4,0.05,0.3152531229,149
50,0.8,0.5,0.02,0.3150887574,288
40,0.8,0.5,0.08,0.3139381986,505
50,0.8,0.5,0.02,0.3133629191,515
50,0.7,0.4,0.05,0.3127054569,423
50,0.8,0.5,0.02,0.3126232742,242
50,0.7,0.4,0.05,0.3124589086,548
50,0.8,0.5,0.02,0.3105687048,330
50,0.7,0.4,0.05,0.3095825115,510
50,0.8,0.4,0.05,0.3082675871,387
50,0.8,0.5,0.02,0.3082675871,241
50,0.8,0.5,0.02,0.307199211,529
50,0.7,0.4,0.05,0.3070348455,643
50,0.8,0.5,0.02,0.3065417488,156
50,0.8,0.5,0.08,0.3047337278,393
50,0.8,0.5,0.02,0.3045693623,190
50,0.7,0.4,0.05,0.303583169,344
50,0.7,0.4,0.05,0.303583169,239
50,0.7,0.4,0.05,0.3024326101,251
50,0.8,0.5,0.02,0.3013642341,446
50,0.7,0.4,0.05,0.2992274819,597
50,0.8,0.5,0.02,0.2986522025,277
50,0.8,0.5,0.02,0.2979947403,313
50,0.7,0.4,0.05,0.2961045365,220
50,0.8,0.5,0.08,0.2955292571,323
50,0.8,0.5,0.02,0.2948717949,545
50,0.8,0.5,0.02,0.2935568705,647
50,0.7,0.4,0.05,0.2929815911,669
50,0.8,0.4,0.05,0.291913215,465
50,0.8,0.5,0.02,0.2916666667,203
50,0.8,0.5,0.02,0.2862426036,348
50,0.8,0.5,0.02,0.2859138725,376
50,0.8,0.5,0.02,0.2813938199,412
50,0.7,0.4,0.05,0.2807363577,285
50,0.8,0.4,0.05,0.2773668639,428
50,0.8,0.5,0.1,0.2763806706,433
50,0.7,0.4,0.05,0.2752301118,305
50,0.7,0.4,0.05,0.2725180802,465
50,0.8,0.5,0.02,0.270052597,461
50,0.8,0.5,0.02,0.2697238659,286
40,0.8,0.5,0.08,0.2610124918,284
40,0.8,0.5,0.08,0.2486850756,281
50,0.8,0.5,0.02,0.2435075608,331
50,0.8,0.5,0.02,0.2343852728,315